yindex,Xindex,Height,resLayer1,resLayer2,resLayer3,resLayer4,resLayer5,resLayer6,resLayer7,resLayer8,resLayer9,resLayer10,resLayer11,resLayer12,resLayer13,resLayer14,resLayer15,resLayer16,resLayer17,resLayer18,resLayer19,resLayer20,resLayer21,resLayer22,resLayer23,resLayer24,resLayer25,resLayer26,resLayer27,resLayer28,resLayer29,resLayer30,resLayer31,resLayer32,resLayer33,resLayer34,resLayer35,resLayer36,resLayer37,resLayer38,resLayer39,resLayer40,resLayer41,resLayer42,resLayer43,resLayer44,resLayer45,resLayer46,resLayer47,resLayer48,resLayer49,resLayer50,resLayer51,resLayer52,resLayer53,resLayer54,resLayer55,resLayer56,resLayer57,resLayer58,resLayer59,resLayer60,resLayer61,resLayer62,resLayer63,resLayer64,resLayer65,resLayer66,resLayer67,resLayer68,resLayer69,resLayer70,resLayer71,resLayer72,resLayer73,resLayer74,resLayer75,resLayer76,resLayer77,resLayer78,resLayer79,resLayer80,resLayer81,resLayer82,resLayer83,resLayer84,resLayer85,resLayer86,resLayer87,resLayer88,resLayer89,resLayer90,resLayer91,resLayer92,resLayer93,resLayer94,resLayer95,resLayer96,resLayer97,resLayer98,resLayer99,resLayer100,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100
1,87,1.3361,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-2.56062,-2.59518,-2.62988,-2.66475,-2.69979,-2.73501,-2.77041,-2.80601,-2.8418,-2.8778,-2.91401,-2.95043,-2.98706,-3.0239,-3.06096,-3.09822,-3.13568,-3.17335,-3.21119,-3.24922,-3.28741,-3.32576,-3.36425,-3.40287,-3.44159,-3.48041,-3.51932,-3.55829,-3.59731,-3.63637,-3.67546,-3.71457,-3.75369,-3.7928,-3.83192,-3.87104,-3.91017,-3.94931,-3.98847,-4.02767,-4.06692,-4.10625,-4.14566,-4.1852,-4.22488,-4.26474,-4.3048,-4.3451,-4.38566,-4.42653,-4.46773,-4.5093,-4.55125,-4.59364,-4.63647,-4.67979,-4.72361,-4.76797,-4.81288,-4.85836,-4.90443,-4.95111,-4.99842,-5.04637,-5.09496,-5.14421,-5.19412,-5.24472,-5.29599,-5.34795,-5.40059,-5.45392,-5.50794,-5.56264,-5.61801,-5.67406,-5.7308,-5.78823,-5.84631,-5.90503,-5.9644,-6.02442,-6.08509,-6.14638,-6.20826,-6.27074,-6.33381,-6.39747,-6.46169,-6.52645,-6.59177,-6.6576,-6.72392,-6.79072,-6.85806,-6.92595,-6.99436,-7.06319,-7.13239,-7.20195
2,87,1.3261,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-2.62381,-2.65661,-2.6896,-2.72278,-2.75616,-2.78975,-2.82357,-2.85763,-2.89192,-2.92646,-2.96124,-2.99628,-3.03158,-3.06713,-3.10292,-3.13897,-3.17526,-3.21178,-3.24852,-3.28548,-3.32263,-3.35997,-3.39749,-3.43515,-3.47296,-3.51089,-3.54893,-3.58706,-3.62527,-3.66355,-3.70189,-3.74028,-3.77871,-3.81717,-3.85567,-3.89421,-3.9328,-3.97143,-4.01013,-4.04891,-4.08779,-4.12679,-4.16592,-4.20521,-4.2447,-4.28441,-4.32437,-4.36461,-4.40516,-4.44605,-4.48731,-4.52898,-4.57107,-4.61363,-4.65666,-4.70021,-4.74429,-4.78893,-4.83415,-4.87995,-4.92637,-4.97342,-5.02111,-5.06945,-5.11845,-5.16812,-5.21846,-5.2695,-5.32122,-5.37363,-5.42673,-5.48053,-5.53503,-5.59021,-5.64606,-5.7026,-5.75984,-5.81776,-5.87634,-5.93556,-5.99543,-6.05596,-6.11713,-6.17892,-6.24131,-6.3043,-6.36788,-6.43204,-6.49676,-6.56204,-6.62786,-6.69419,-6.76101,-6.82831,-6.89614,-6.96453,-7.03342,-7.10274,-7.17241,-7.24245
3,87,1.3305,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-2.63963,-2.67245,-2.70544,-2.73862,-2.772,-2.8056,-2.83942,-2.87347,-2.90775,-2.94227,-2.97703,-3.01204,-3.0473,-3.0828,-3.11854,-3.15452,-3.19072,-3.22715,-3.26378,-3.3006,-3.33761,-3.37479,-3.41211,-3.44958,-3.48716,-3.52485,-3.56262,-3.60048,-3.63838,-3.67634,-3.71435,-3.75238,-3.79044,-3.82853,-3.86665,-3.9048,-3.94299,-3.98124,-4.01954,-4.05794,-4.09644,-4.13507,-4.17386,-4.21282,-4.252,-4.29142,-4.33112,-4.37112,-4.41146,-4.45216,-4.49327,-4.53481,-4.57681,-4.6193,-4.6623,-4.70583,-4.74994,-4.79462,-4.83991,-4.88582,-4.93237,-4.97957,-5.02744,-5.07598,-5.12521,-5.17512,-5.22573,-5.27705,-5.32909,-5.38183,-5.43528,-5.48944,-5.54432,-5.5999,-5.65617,-5.71314,-5.77083,-5.82922,-5.88828,-5.948,-6.00838,-6.06943,-6.13113,-6.19348,-6.25643,-6.31999,-6.38416,-6.44892,-6.51424,-6.58013,-6.64658,-6.71355,-6.78101,-6.84895,-6.91743,-6.98647,-7.05603,-7.12601,-7.19636,-7.26706
4,87,1.3509,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-2.63743,-2.66966,-2.70207,-2.73468,-2.7675,-2.80053,-2.8338,-2.8673,-2.90105,-2.93505,-2.9693,-3.00381,-3.03859,-3.07362,-3.1089,-3.14443,-3.18021,-3.21622,-3.25245,-3.28889,-3.32553,-3.36236,-3.39935,-3.43648,-3.47375,-3.51115,-3.54864,-3.58622,-3.62387,-3.66157,-3.69934,-3.73714,-3.77499,-3.81286,-3.85077,-3.88872,-3.92673,-3.96479,-4.00292,-4.04115,-4.07949,-4.11797,-4.15661,-4.19545,-4.2345,-4.27381,-4.31341,-4.35333,-4.39359,-4.43424,-4.47532,-4.51684,-4.55883,-4.60134,-4.64438,-4.68798,-4.73216,-4.77695,-4.82237,-4.86844,-4.91516,-4.96257,-5.01067,-5.05947,-5.10897,-5.15918,-5.21012,-5.2618,-5.31422,-5.36737,-5.42125,-5.47587,-5.53123,-5.58733,-5.64413,-5.70166,-5.75993,-5.81893,-5.87863,-5.939,-6.00006,-6.06182,-6.12425,-6.18735,-6.25107,-6.31543,-6.38042,-6.44602,-6.5122,-6.57896,-6.6463,-6.71419,-6.78259,-6.85148,-6.92092,-6.99093,-7.06146,-7.13245,-7.20381,-7.27552
5,87,1.3566,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-2.62242,-2.65417,-2.68611,-2.71825,-2.7506,-2.78318,-2.81599,-2.84905,-2.88237,-2.91594,-2.94978,-2.98389,-3.01829,-3.05295,-3.08789,-3.12309,-3.15857,-3.1943,-3.23028,-3.2665,-3.30295,-3.33961,-3.37646,-3.4135,-3.4507,-3.48806,-3.52555,-3.56316,-3.60087,-3.63867,-3.67656,-3.71452,-3.75253,-3.79061,-3.82874,-3.86693,-3.90519,-3.94351,-3.98192,-4.02042,-4.05904,-4.09779,-4.1367,-4.17579,-4.2151,-4.25464,-4.29446,-4.33458,-4.37503,-4.41585,-4.45707,-4.49871,-4.54082,-4.58341,-4.62652,-4.67016,-4.71438,-4.75918,-4.8046,-4.85064,-4.89734,-4.94469,-4.99273,-5.04145,-5.09087,-5.14099,-5.19183,-5.24339,-5.29569,-5.3487,-5.40245,-5.45693,-5.51214,-5.56808,-5.62472,-5.68208,-5.74018,-5.79901,-5.85852,-5.91871,-5.97958,-6.04115,-6.10339,-6.16629,-6.22981,-6.29396,-6.35874,-6.42413,-6.49011,-6.55666,-6.62379,-6.69146,-6.75964,-6.82832,-6.89754,-6.96733,-7.03766,-7.10843,-7.17957,-7.25107
6,87,1.3722,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-2.60894,-2.64091,-2.67306,-2.7054,-2.73794,-2.7707,-2.80368,-2.8369,-2.87037,-2.90409,-2.93806,-2.97231,-3.00683,-3.04161,-3.07667,-3.11199,-3.14758,-3.18343,-3.21953,-3.25586,-3.29242,-3.32921,-3.36619,-3.40335,-3.44068,-3.47817,-3.5158,-3.55355,-3.5914,-3.62934,-3.66737,-3.70547,-3.74362,-3.78183,-3.82009,-3.8584,-3.89677,-3.9352,-3.97369,-4.01228,-4.05096,-4.08977,-4.12871,-4.16782,-4.20713,-4.24666,-4.28644,-4.32651,-4.36689,-4.40762,-4.44874,-4.49027,-4.53224,-4.57469,-4.61764,-4.66111,-4.70514,-4.74976,-4.79497,-4.8408,-4.88728,-4.93441,-4.98222,-5.03071,-5.07988,-5.12976,-5.18035,-5.23167,-5.28371,-5.33647,-5.38996,-5.44419,-5.49914,-5.55482,-5.6112,-5.66831,-5.72615,-5.78471,-5.84397,-5.9039,-5.96452,-6.02582,-6.08781,-6.15045,-6.21372,-6.27762,-6.34214,-6.40728,-6.473,-6.53931,-6.60619,-6.67361,-6.74155,-6.80998,-6.87897,-6.94853,-7.01862,-7.08916,-7.16007,-7.23134
7,87,1.3627,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-2.60461,-2.63638,-2.66834,-2.70049,-2.73285,-2.76543,-2.79824,-2.83129,-2.8646,-2.89816,-2.93199,-2.9661,-3.00048,-3.03515,-3.07009,-3.10531,-3.1408,-3.17656,-3.21258,-3.24884,-3.28535,-3.32207,-3.35901,-3.39613,-3.43343,-3.47089,-3.50849,-3.54621,-3.58404,-3.62196,-3.65996,-3.69803,-3.73615,-3.77432,-3.81254,-3.8508,-3.88911,-3.92747,-3.96588,-4.00438,-4.04297,-4.08167,-4.1205,-4.15949,-4.19867,-4.23807,-4.27771,-4.31764,-4.35789,-4.39849,-4.43947,-4.48087,-4.52272,-4.56506,-4.60791,-4.65129,-4.69525,-4.7398,-4.78497,-4.83078,-4.87724,-4.92438,-4.97222,-5.02075,-5.07,-5.11997,-5.17067,-5.22212,-5.27432,-5.32726,-5.38095,-5.43539,-5.49059,-5.54654,-5.60321,-5.66062,-5.7188,-5.77772,-5.83735,-5.89768,-5.95871,-6.02046,-6.08291,-6.14603,-6.2098,-6.27423,-6.3393,-6.405,-6.47131,-6.53821,-6.60572,-6.67378,-6.74237,-6.81148,-6.88114,-6.9514,-7.02221,-7.09348,-7.16513,-7.23715
8,87,1.3607,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-2.5996,-2.63174,-2.66406,-2.69658,-2.7293,-2.76223,-2.7954,-2.82881,-2.86247,-2.89639,-2.93057,-2.96502,-2.99975,-3.03476,-3.07005,-3.1056,-3.14143,-3.17753,-3.21387,-3.25046,-3.28728,-3.32432,-3.36157,-3.39899,-3.43658,-3.47432,-3.51219,-3.55017,-3.58823,-3.62638,-3.66458,-3.70284,-3.74112,-3.77942,-3.81774,-3.85608,-3.89444,-3.93281,-3.9712,-4.00964,-4.04814,-4.0867,-4.12537,-4.16415,-4.20308,-4.2422,-4.28154,-4.32112,-4.36098,-4.40117,-4.44172,-4.48265,-4.52401,-4.56583,-4.60814,-4.65097,-4.69436,-4.73832,-4.78289,-4.82808,-4.87392,-4.92043,-4.96762,-5.01551,-5.0641,-5.11341,-5.16345,-5.21423,-5.26575,-5.31802,-5.37103,-5.42479,-5.47931,-5.53457,-5.59055,-5.64728,-5.70477,-5.76299,-5.82194,-5.88157,-5.94191,-6.00296,-6.06471,-6.12714,-6.19022,-6.25394,-6.31832,-6.38332,-6.44893,-6.51514,-6.58194,-6.64931,-6.71721,-6.78561,-6.85459,-6.92417,-6.9943,-7.06489,-7.13586,-7.2072
9,87,1.3425,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-2.61439,-2.64737,-2.68053,-2.71388,-2.74745,-2.78123,-2.81524,-2.84949,-2.88398,-2.91872,-2.95371,-2.98897,-3.02449,-3.06027,-3.09631,-3.1326,-3.16914,-3.20592,-3.24292,-3.28014,-3.31756,-3.35516,-3.39293,-3.43084,-3.46888,-3.50703,-3.54526,-3.58356,-3.6219,-3.66027,-3.69865,-3.73704,-3.77539,-3.81372,-3.85202,-3.89028,-3.92851,-3.96671,-4.00488,-4.04305,-4.08123,-4.11944,-4.1577,-4.19605,-4.2345,-4.27311,-4.31189,-4.35089,-4.39014,-4.42968,-4.46956,-4.50979,-4.55043,-4.59149,-4.63303,-4.67506,-4.71762,-4.76074,-4.80444,-4.84874,-4.89367,-4.93925,-4.98549,-5.0324,-5.08,-5.12829,-5.17729,-5.22701,-5.27745,-5.32862,-5.38051,-5.43313,-5.48648,-5.54055,-5.59533,-5.65083,-5.70707,-5.76403,-5.82168,-5.88001,-5.93902,-5.99872,-6.0591,-6.12014,-6.18181,-6.24411,-6.30704,-6.37059,-6.43472,-6.49943,-6.56473,-6.63058,-6.69693,-6.76379,-6.83122,-6.89925,-6.96781,-7.03682,-7.1062,-7.17596
10,87,1.3536,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-2.6083,-2.64243,-2.67675,-2.71125,-2.74596,-2.78087,-2.816,-2.85135,-2.88693,-2.92275,-2.9588,-2.99509,-3.03162,-3.06838,-3.10537,-3.14258,-3.18001,-3.21765,-3.25546,-3.29345,-3.3316,-3.36989,-3.40829,-3.44679,-3.48535,-3.52397,-3.56261,-3.60125,-3.63987,-3.67845,-3.71697,-3.75543,-3.79378,-3.83204,-3.87019,-3.90825,-3.9462,-3.98404,-4.02181,-4.0595,-4.09716,-4.13479,-4.17243,-4.21011,-4.24787,-4.28575,-4.32378,-4.36201,-4.40047,-4.43922,-4.47829,-4.51772,-4.55756,-4.59783,-4.63858,-4.67985,-4.72165,-4.76403,-4.80701,-4.85061,-4.89486,-4.93977,-4.98537,-5.03167,-5.07867,-5.12639,-5.17484,-5.22403,-5.27397,-5.32465,-5.37608,-5.42826,-5.48119,-5.53486,-5.58926,-5.64441,-5.70031,-5.75695,-5.8143,-5.87234,-5.93108,-5.99054,-6.0507,-6.11153,-6.173,-6.23512,-6.29789,-6.36129,-6.42529,-6.48989,-6.55509,-6.62085,-6.68714,-6.75394,-6.82133,-6.88932,-6.95787,-7.02687,-7.09627,-7.16604
